"Date","Time","Close","y","AR1","AR2","AR3","EMA05","EMA10","MACD","CMO24","CMO48"
2015-02-17,15:00:00,1.14105,-6e-05,0.00158,-0.00049,-0.00014,-0.00130709,-0.0020367,0.00010791,-0.08333333,0.10416667
2015-02-17,18:00:00,1.14099,-0.00112,-6e-05,0.00152,-0.00055,-0.00083144,-0.00161735,0.00018181,-0.08333333,0.10416667
2015-02-17,21:00:00,1.13987,0.00043,-0.00112,-0.00118,4e-04,0.00019232,-0.00040697,0.0001419,-0.08333333,0.0625
2015-02-18,00:00:00,1.1403,-0.00152,0.00043,-0.00069,-0.00075,-0.0001585,-0.00068484,0.00013134,-0.08333333,0.0625
2015-02-18,03:00:00,1.13878,-0.00038,-0.00152,-0.00109,-0.00221,0.00090761,0.00068326,1.498e-05,-0.08333333,0.02083333
2015-02-18,06:00:00,1.1384,-0.00113,-0.00038,-0.0019,-0.00147,0.00085836,0.00086989,-8.887e-05,-0.08333333,0.02083333
2015-02-18,09:00:00,1.13727,-0.00312,-0.00113,-0.00151,-0.00303,0.00132552,0.00163622,-0.00022709,-0.08333333,-0.02083333
2015-02-18,12:00:00,1.13415,0.00393,-0.00312,-0.00425,-0.00463,0.00296363,0.00389141,-0.0005061,-0.16666667,-0.0625
2015-02-18,15:00:00,1.13808,0.00202,0.00393,0.00081,-0.00032,-0.0006443,-3.162e-05,-0.00040765,-0.08333333,-0.02083333
2015-02-18,18:00:00,1.1401,0.00155,0.00202,0.00595,0.00283,-0.00177625,-0.00167865,-0.00019875,-0.08333333,-0.02083333
2015-02-18,21:00:00,1.14165,-0.00039,0.00155,0.00357,0.0075,-0.00221755,-0.00264167,3.89e-05,-0.08333333,-0.02083333
2015-02-19,00:00:00,1.14126,-1e-04,-0.00039,0.00116,0.00318,-0.00121842,-0.00184233,0.00015821,-0.16666667,-0.02083333
2015-02-19,03:00:00,1.14116,-0.00091,-1e-04,-0.00049,0.00106,-0.00074566,-0.00142559,0.00021524,-0.25,-0.0625
2015-02-19,06:00:00,1.14025,-0.0034,-0.00091,-0.00101,-0.0014,0.00010951,-0.0004219,0.00017806,-0.25,-0.0625
2015-02-19,09:00:00,1.13685,0.00227,-0.0034,-0.00431,-0.00441,0.00233962,0.00243658,-7.553e-05,-0.25,-0.10416667
2015-02-19,12:00:00,1.13912,-0.00267,0.00227,-0.00113,-0.00204,4.636e-05,0.00013624,-8.945e-05,-0.16666667,-0.0625
2015-02-19,15:00:00,1.13645,-0.00013,-0.00267,-4e-04,-0.0038,0.00181086,0.00229597,-0.00026748,-0.16666667,-0.08333333
2015-02-19,18:00:00,1.13632,0.00043,-0.00013,-0.0028,-0.00053,0.00129385,0.00198483,-0.00037633,-0.25,-0.125
2015-02-19,21:00:00,1.13675,-0.00037,0.00043,3e-04,-0.00237,0.00057585,0.00127209,-0.00039951,-0.16666667,-0.08333333
2015-02-20,00:00:00,1.13638,-0.00059,-0.00037,6e-05,-7e-05,0.00063051,0.00134348,-0.00041793,-0.25,-0.08333333
2015-02-20,03:00:00,1.13579,-0.00222,-0.00059,-0.00096,-0.00053,0.00081363,0.00158189,-0.00044548,-0.25,-0.125
2015-02-20,06:00:00,1.13357,-0.00255,-0.00222,-0.00281,-0.00318,0.00202237,0.00311059,-0.00058033,-0.33333333,-0.16666667
2015-02-20,09:00:00,1.13102,0.00546,-0.00255,-0.00477,-0.00536,0.00304819,0.00463134,-0.00079509,-0.41666667,-0.20833333
2015-02-20,12:00:00,1.13648,0.0042,0.00546,0.00291,0.00069,-0.00160792,-0.00067804,-0.00053569,-0.33333333,-0.20833333
2015-02-20,15:00:00,1.14068,-0.00248,0.0042,0.00966,0.00711,-0.003872,-0.00399118,-7.188e-05,-0.33333333,-0.20833333
2015-02-22,18:00:00,1.1382,-0.00045,-0.00248,0.00172,0.00718,-0.00092805,-0.00123647,6.96e-05,-0.33333333,-0.20833333
2015-02-22,21:00:00,1.13775,0.00046,-0.00045,-0.00293,0.00127,-0.00031875,-0.00064352,0.00013101,-0.33333333,-0.20833333
2015-02-23,00:00:00,1.13821,-0.00275,0.00046,1e-05,-0.00247,-0.00051922,-0.00090293,0.00019681,-0.33333333,-0.20833333
2015-02-23,03:00:00,1.13546,-0.00557,-0.00275,-0.00229,-0.00274,0.00148713,0.00151119,5.659e-05,-0.33333333,-0.20833333
